Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0010535890938526275
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0010535890938526275
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0010535890938526275
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0010535890938526275
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0010535890938526275
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;-1
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0005527022176929608
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0005881681602227376
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0005881681602227374
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0025876188120285515
