Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0006646852859174911
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0006646852859174911
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0006646852859174911
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0006646852859174911
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0006646852859174911
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0004695114696811978
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0011810310797914848
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0021509667688728758
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.002150966768872894
-0.9999999999999991 -5.448020745043187e-24 -4.371138927059996e-08;2.775557561562891e-16 1.223933017839988e-16 1.00000000000002;2.83276944882399e-16 1.0 8.659560751615642e-17;-0.7071067657322375 2.615393869362208e-16 -0.7071067966408572;-0.7071067966408572 1.390747131006342e-16 0.7071067657322375;0.0011810310797915103
