Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;-1
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;-1
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;-1
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;-1
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;-1
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0015985173706803385
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0005527022176927504
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0008942909738855162
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.002426191524601556
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;-1
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0008128498093820669
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0007254466064459123
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.0002825394133892889
7.494005416219809e-16 1.000000000000005 2.775557561562891e-16;1.22530169646004e-16 -4.99600720424383e-16 1.000000000000065;1.0 -5.283148948493034e-16 8.659560562354934e-17;4.34807384707168e-16 0.7071067811865476 -0.7071067811865476;3.123427047924326e-16 0.7071067811865476 0.7071067811865476;0.00028253941338929263
